Quellindex,Dateiname,,Kategorie der Quelle,Motivwelt der Quelle,Stimmung der Quelle,Raumtiefe,Semantische Kopplung,Projektionsraum,Jahreszeit,Tageszeit,Wetter
1,eea0dbd91c04dbebe5fb10bc451fa3cc.jpg,Meeresbrandung sanft,2,Wasser,1,0.5,1,0,0,0,1
2,Bildschirm­foto 2024-04-18 um 00.28.26 Kopie.jpg,Sandstrand in Abendstimmung,2,Wasser,5,1,1,1,1 & 2,2,1
3,Bildschirm­foto 2024-04-18 um 00.49.30 Kopie 2.jpg,Beschneite Berge,2,Erde,3,0.8,1,0,4,0,0
4,image-2 Kopie.jpg,Grand Canyon,2,Erde,10,0.9,1,0,1 & 2 & 3,2,1
5,Sonnenblumenfeld Kopie.jpg,Sonnenblumenfeld in Abendstimmung,2,Fibonacci,7,0.7,0,0,1 & 2,0,0
6,e4f05d430b8cdcd4aaac62ee7d361583 Kopie.jpg,Unterwasserwelt mit Himmel,2,Wasser,7,0.3,1,0,1 & 2,2,0
,,,,,,,,,,,
,GESAMTAUSWAHL:,,GESAMTAUSWAHL:,GESAMTAUSWAHL:,GESAMTAUSWAHL:,GESAMTAUSWAHL:,GESAMTAUSWAHL:,GESAMTAUSWAHL:,GESAMTAUSWAHL:,GESAMTAUSWAHL:,GESAMTAUSWAHL:
,1000+,,4,50+,12,Von 0 bis 1 ,0 oder 1,4,5,3,3
,,,1 = Makrosphäre,Wasser,1 = Vertrauen: geborgen/sicher/zuversichtlich,0,0 = keine Kopplung,0 = Alle Räume,0 = Alle Jahreszeiten,0 = Alle Tageszeiten,0 = Alle Wetter
,,,2 = Umwelt,Erde,2 = Angst: bedrohlich/düster/unheimlich,0.1,1 = Kopplung,1 = nur Outdoor,1 = nur Frühling,1 = nur Nacht,1 = nur Schönwetter
,,,3 = Mensch,Feuer ,3 = Freude: glücklich/lebendig/herzlich,0.2,,2 = nur Indoor,2 = nur Sommer,2 = nur Tag,2 = nur Niederschlag
,,,4 = Mikrosphäre,Luft,4 = Trauer: freudlos/melancholisch/leer,0.3,,,3 = nur Herbst,,
,,,,Urbanes,5 = Zufriedenheit: friedlich/entspannend/harmonisch,0.4,,,4 = nur Winter,,
,,,,Nahaufnahmen,6 = Ärger: spannungsgeladen/aggressiv/explosiv,0.5,,,,,
,,,,Unterwasser,7 = Zuneigung: anziehend/schön/attraktiv,0.6,,,,,
,,,,Panoramaweite,8 = Abneigung: abstoßend/verstörend/ekelig,0.7,,,,,
,,,,Tiere,9 = Überraschung: unerwartet/surreal/schwindelerregend,0.8,,,,,
,,,,Sakrales,10 = Vorhersehbarkeit: gewohnt/bekannt/trivial,0.9,,,,,
,,,,Kunst,11 = Staunen: erhaben/monumental/magisch,1,,,,,
,,,,Insekten,12 = Skepsis: zweifelnd/zurückhaltend/misstrauisch,,,,,,
,,,,Fibonacci ,,,,,,,
,,,,Mikroskop,,,,,,,
,,,,Universum,,,,,,,
,,,,Rohstoff,,,,,,,
,,,,Mensch,,,,,,,
,,,,,,,,,,,
,Sequenzer generiert für Alle:,,,,,,,,,,
,Quelle: Standzeit ,,"Zugeordnete Dauer der reinen Standzeit (ohne Blendvorgang) in Sekunden, voraussichtlich zwischen 10 und 30 Sekunden",,,,,,,,
,Blende: Zeitdauer,,"Zugeordnete Dauer des Blendvorgangs (ohne Standzeit) in Sekunden, voraussichtlich zwischen 30 und 240 Sekunden",,,,,,,,
,,,,,,,,,,,
,Visuals Blende übermittelt an Audio:,,,,,,,,,,
,Blendintensität,,LIVE Grad der Transformationsintensität (x 0-1 als Vektor in y-Zeit) ,,,,,,,,
,Meta: Lautheit & Präsenz,,Fester Parameter-Blendwert zwischen Präsent/Laut (1) und Transparent/Leise (0),,,,,,,,
,Meta: Spektrum & Farbigkeit,,Fester Parameter-Blendwert zwischen breites Spektrum/Warm (1) und geringes Spektrum/Kalt (0),,,,,,,,
,Meta: Struktur & Textur,,Fester Parameter-Blendwert zwischen Detailreich/Opulent (1) und Übersichtlich/Minimalistisch (0),,,,,,,,
,Meta: Position & Raumbewegung,,Audio-Ableitung aus mehreren Parameter-Blendwert zwischen Dynamisch/Bewegt (1) und Statisch/Ruhig (0),,,,,,,,
,,,,,,,,,,,
,Visuals Blende empfängt von Audio:,,,,,,,,,,
,Meta: Rhythmik & Geschwindigkeit,,LIVE 4-Band-Audioanalyse für Übernahme von Puls/Rhythmik in visuellen Blendparametern,,,,,,,,