Dateiname,Prompt,Negative Prompt
2 Kopie.jpg,"A futuristic digital data corridor, glowing with transparent neon structures and layered light trails, high detail, dynamic perspective, volumetric lighting, cyberpunk atmosphere, ultra high resolution, photorealistic look","(blurry, noisy, cartoon, oversaturated, flat lighting, low resolution, unrealistic perspective)"
5cb31d721cc0715816c1eeb5fcf029bd Kopie.jpg,"An old sailing ship drawn in vintage ink and watercolor style, with a parchment background and navigational diagrams, soft shadows, high detail, historical realism","(modern style, digital glitch, anime, overly sharp, low detail, unrealistic shapes)"
50db248c323f42f65d6f806ff4e9ef6f.jpg,"Vibrant abstract oil painting with thick brush strokes in orange, blue and yellow, rich texture, impasto technique, modern expressionism, bold color contrast","(photorealism, smooth surfaces, pastel tones, blurry lines, grayscale)"
664bc4a9033b0ef5d71096645e523c94 Kopie.jpg,"Ancient Egyptian temple interior with monumental statues and wall carvings, warm sandstone texture, golden hour lighting, symmetrical perspective, ultra high detail, photorealistic look","(modern architecture, digital render, low detail, flat textures, unrealistic lighting)"
42511e02a59cb54539295f523643b339 Kopie.jpg,"Close-up of intricate golden ornamental relief, baroque style floral patterns, high detail, glowing highlights, metallic surface texture, ultra realism","(plastic texture, low resolution, flat surface, simplified pattern)"
55913f5ea5954603eb3465cf6985b55a.jpg,"Ancient Egyptian hieroglyph wall, carved and painted symbols in earthy tones, worn textures, historical realism, flat frontal view, archaeological photography style","(digital typography, modern writing, smooth surfaces, untextured wall)"
a883d908ddc6abfa873c30859edd7355 Kopie.jpg,"Dimly lit ancient Egyptian corridor with stone walls covered in carvings, torchlight illumination, atmospheric shadows, cinematic depth, mystical mood, ultra realistic","(bright daylight, flat lighting, anime style, low resolution, modern elements)"
a963d0cd4cdccb49489a24c8c8c2dd29.jpg,"Abstract industrial painting with black and red geometric lines, splatter and grid overlays, textured grayscale background, urban and edgy style, expressionist composition","(clean minimalism, pastel palette, symmetry, photorealism, smooth gradients)"
bf66563290dff412f93bbe03733294b4.jpg,"Hyperrealistic chrome sculptures of two human faces about to kiss, surreal liquid metal texture, high detail, soft studio lighting, mirrored surfaces","(rough texture, matte finish, cartoon style, low detail, unrealistic reflections)"
CAPPELLA_SISTINA_Ceiling.jpg,"The ceiling of the Sistine Chapel, Renaissance fresco with biblical scenes, intricate human figures, classical architecture, vibrant color palette, high detail, historical realism","(blurred details, modern art style, simplified figures, low resolution, abstract)"
cc7a5fff13e3dafa72c7abd6b0eba62a.jpg,"Colorful macro photograph of acrylic paint drops and marbled swirls, vibrant rainbow color palette, 3D spherical texture, high gloss surface, ultra detailed, photorealistic liquid paint reaction, macro photography","(flat colors, blurry, cartoon style, low detail, smooth surface, noise)"
cf343be9b30662149a81d092b174e11d Kopie.jpg,"Ancient Egyptian gold relief with hieroglyphs and winged goddess figure, highly detailed engravings, realistic metallic reflections, historical artifact photography, ultra sharp close-up, warm lighting","(flat metal, modern engraving, low resolution, unrealistic gold tone, cartoon texture)"
Chapelle_sixtine.jpg,"Interior view of the Sistine Chapel, showing Michelangelo’s frescoes on ceiling and walls, dramatic Renaissance composition, rich color detail, natural interior lighting, ultra high resolution architectural photography","(low resolution, modern painting, abstract art, faded colors, cartoon figures)"
eef1e349eece81739a0deb59a0b57588.jpg,"Vivid abstract painting with vertical color gradients and dripping textures, thick impasto strokes, full spectrum color palette, high contrast, expressionist style, ultra high resolution, close-up view","(pastel tones, soft brushwork, minimalism, smooth gradients, low detail)"
f0f9851f8d27677f5c096b676b739995.jpg,"Dynamic close-up of intertwined multicolored paint strokes, thick impasto texture, high gloss acrylic, abstract modern style, intense motion and texture, ultra high resolution macro shot","(blurry, soft colors, digital illustration, flat texture, photorealism)"
fd900f96b79fa2ca1e673f15562a1ae3.jpg,"Vintage map design with a large compass rose at the center, hand-drawn cartographic elements on parchment texture, warm sepia tones, aged surface details, steampunk and nautical aesthetics, ultra high resolution","(modern map, digital vector, pastel colors, clean surface, low resolution)"
Glocke Kopie.jpg,"Close-up of a large bronze church bell inside a tower, industrial structural elements, worn patina and surface details, realistic lighting with soft shadows, ultra high resolution, documentary photography style","(polished new bell, studio background, cartoon style, low detail, HDR look)"
Hundertwasserhaus.jpg,"Photograph of the Hundertwasserhaus in Vienna, organic architecture with irregular windows, colorful facade mosaics, trees on rooftop, natural daylight, vibrant tones, ultra high resolution","(standard architecture, grayscale, modern clean lines, low detail, cartoon render)"
jugendstil1 Kopie.jpg,"Front view of an Art Nouveau building with golden medallions and palm leaf ornamentation, detailed facade decoration, symmetrical window alignment, clear daylight, ultra high resolution architectural shot","(modernist facade, minimalist style, flat decoration, cartoon texture, low detail)"
jugendstil2 Kopie.jpg,"Art Nouveau facade with floral and spiral ornamentation in pink and green, decorative symmetry, historical European architecture, crisp daylight, ultra detailed surface textures, photorealistic elevation view","(clean facade, modern minimalism, low resolution, blurry, simplified colors)"
jugendstil4 Kopie.jpg,"Secession building in Vienna with golden laurel dome, white plaster facade and Jugendstil ornamentation, clear daylight, clean architectural lines, ultra high resolution photo","(dirty facade, modern architecture, faded gold, flat lighting, low detail)"
jugendstil5 Kopie.jpg,"Close-up of Jugendstil plaster relief with floral abstract patterns and circular motifs, detailed texture, crisp daylight, high resolution art nouveau decoration","(modern art, low resolution, minimalism, cartoon style, flat surface)"
jugendstil6 Kopie.jpg,"Art Nouveau painting of women in golden robes with stylized patterns, repeated figures, Gustav Klimt style, vibrant ornamentation, high detail, gold leaf texture, historical mural","(photorealism, realism, flat color, minimalism, blurry details)"
jugendstil7 Kopie.jpg,"Secession style mural with symbolic figures and golden armor, Gustav Klimt frieze, stylized nudity and geometric patterns, pale background with intricate gold details, ultra high resolution fresco scan","(digital art, modern abstract, flat shading, photorealism, cartoon)"
kuss.jpg,"The Kiss by Gustav Klimt, gold leaf painting with ornamental patterns, stylized couple in embrace, rich texture and color, art nouveau style, high resolution artwork scan","(flat art, photorealism, minimalism, low detail, pastel tones)"
Last_Judgement.jpg,"Michelangelo's Last Judgement fresco, vivid Renaissance painting with muscular figures and dramatic gestures, blue sky background, high detail, historical biblical scene, ultra high resolution fresco photo","(modern style, abstract painting, digital colors, low resolution, simplified anatomy)"
Michelangelo.jpg,"The Creation of Adam by Michelangelo, iconic Renaissance fresco on Sistine Chapel ceiling, realistic anatomy, soft pastel color palette, natural cracks, ultra high resolution scan","(modern painting, digital art, simplified human figures, flat lighting, blurry details)"
MV_110145_00001-001.JPG,"Fragment of Roman terra sigillata pottery, red slipware with mythological relief figures, archaeological artifact with signs of age, studio background with scale, high resolution","(clean pottery, modern ceramics, polished surface, cartoon style, no scale)"
MV_110532_00001-001.JPG,"Archaeological pottery shard with sculpted human face and beard, terracotta texture, aged surface, studio documentation photo with scale bar, high resolution close-up","(intact sculpture, glossy ceramic, modern style, low detail, flat lighting)"
MV_110649_00059-001 Kopie.jpg,"Ancient ceramic animal figurine fragment, primitive dog shape with stylized eyes, archaeological find, greyish surface texture, studio photo with measurement scale, high resolution","(modern sculpture, cartoon animal, photorealism, clean finish, low detail)"
Panorama_Vienna.jpg,"panoramic view of Vienna from Kahlenberg on a bright spring day, showing lush green hills in the foreground and the cityscape with the Danube River and modern buildings in the distance, partly cloudy sky, high-resolution landscape photo","low resolution, overexposed, underexposed, distorted colors, unnatural lighting, blurry, crowded foreground"
s-biografie.jpg,"black and white artistic portrait of a man with long hair and beard, wearing a dark jacket, multiple transparent soap bubbles floating in front of his face, soft gradient background, clear focus on the eyes, fine lighting contrast","low resolution, poor lighting, pixelated, background clutter, harsh shadows, unnatural skin tones"
s-collage_private.jpg,"collage of abstract white chalk sketches on black background, including a person kicking a ball and its trajectory shown through successive arcs, minimalistic and expressive drawing style, high contrast","color background, realistic rendering, cluttered composition, text elements, low contrast"
s-collage_projekte.jpg,"collage of white neon-outlined conceptual interior designs on black background, futuristic lounge and roundtable settings, dynamic architectural elements and light sculptures, minimalistic high-tech look","natural lighting, colored textures, cluttered designs, traditional furniture, poor resolution"
s-collage_standorte.jpg,"collage of famous futuristic and modern buildings outlined in white on black background, including hotels, ships, stadiums, domes, and iconic architecture from global cities, high-tech sketch style","photorealistic texture, natural daylight, colored image, old or ruined buildings, low detail"
s-collage-presse.jpg,"black background with multiple famous magazine and media logos in grayscale, including Vogue, BBC, ORF, Cosmopolitan, Die Presse, spaChina, and more, clean and minimal graphic style","color logos, busy layout, overlapping text, poor alignment, low resolution"
s-philosophie.jpg,"blackboard-style drawing with abstract white dotted wave lines, multiple paths labeled A to E, smooth and organic shapes in dynamic flow, minimalistic scientific sketch with motion dynamics","chaotic lines, color rendering, low resolution, photographic elements, pixelation"
s-produktentwicklung.jpg,"abstract 3D rendering of an elegant black organic wave form with smooth reflective surfaces, colored contour lines in purple, green and blue, suspended in a neutral gradient background, futuristic product design visualization","sharp edges, flat lighting, cluttered background, color noise, broken geometry"
s-unternehmensleitbild.jpg,"technical chalk drawing on blackboard, showing geometric construction with curves, circles, angles and mathematical formulas in white chalk, accented blue spline, high-detail engineering sketch","blurry sketch, text-heavy slides, digital vector, color background, messy layout"
s-vision.jpg,"handwritten inspirational words on a black background, in various directions and styles, such as 'home', 'space', 'freedom', 'fantastic sounds', 'relaxion', evoking a dreamlike and poetic atmosphere, chalk writing effect","typed text, structured layout, color background, overly bright, low resolution"
s-werte.jpg,"conceptual chalk drawing on blackboard, keywords like 'holistic home', 'art & awareness', 'sensory space', 'black whole', and 'infinity dot' connected with arrows around an abstract 'S' symbol, dark minimalistic background","color image, digital graphics, bright colors, realism, photography"
Staatsvertrag1.jpg,"historical black-and-white photo, massive cheering crowd gathered in a formal European garden with baroque layout, Vienna skyline in the background, 1950s atmosphere","color image, modern clothing, contemporary architecture"
Staatsvertrag2.jpg,"historical black-and-white photo, group of officials on a baroque palace balcony, one official holding a treaty document, 1950s political atmosphere","color image, modern architecture, digital effects"
Staatsvertrag3.jpg,"wide historical black-and-white photo of Austrian politicians on the balcony of the Belvedere Palace, proudly presenting the Austrian State Treaty, mid-20th century setting","modern setting, digital graphics, casual clothing"
Stephansdom.jpg,"interior of gothic cathedral, high vaulted ceilings, richly ornamented altarpiece, golden light rays through stained glass windows, intricate stone carvings and baroque elements","minimalism, modern design, plain surfaces"
Stephansdom2 Kopie.jpg,"detailed interior view of gothic cathedral, showcasing organ pipes and ornate altar, golden ambient light, baroque and gothic fusion architecture","modern materials, simple structure, white walls"
Stephansdom3 Kopie.jpg,"dramatic close-up view of gothic cathedral altar with stained glass and religious sculptures, rich warm light, vivid gold and crimson hues","plain setting, minimal color, contemporary elements"
Vezelay Kopie.jpg,"interior of romanesque church, light stone arches with striped decorative elements, long perspective down nave, diffused daylight, austere medieval beauty","baroque richness, colorful windows, ornament overload"
Vezelay_Abbey.jpg,"romanesque cathedral nave interior, alternating stone bands in arches, stone floor, high ceiling, symmetrical architecture, soft natural light","gothic pointed arches, stained glass, baroque décor"
Wienpano Kopie.jpg,"panoramic view of Vienna from elevated grassy hill, expansive skyline, Danube River cutting through cityscape, clear sky with scattered clouds, daytime lighting","night scene, foggy weather, aerial drone shot"